rank	file	frame	status	res_before	res_after	n_match	spread
1531	1531_nbacourt_1486_frame_0007_png.rf.f99c88.jpg	nbacourt_1486_frame_0007_png.rf.f99c88	SNAPPED	1.2273846864700317	0.48962318897247314	42	0.262
1532	1532_nbacourt_2025_frame_0003_png.rf.40520f.jpg	nbacourt_2025_frame_0003_png.rf.40520f	SNAPPED	2.2478654384613037	0.48920828104019165	79	0.458
1533	1533_nbacourt_0353_frame_0002_png.rf.23c1d6.jpg	nbacourt_0353_frame_0002_png.rf.23c1d6	SNAPPED	2.49636173248291	0.48898041248321533	60	0.344
1534	1534_nbacourt_0761_frame_0004_png.rf.16b4dc.jpg	nbacourt_0761_frame_0004_png.rf.16b4dc	SNAPPED	2.0251717567443848	0.488867849111557	97	0.477
1535	1535_nbacourt_0822_frame_0004_png.rf.5b8f7f.jpg	nbacourt_0822_frame_0004_png.rf.5b8f7f	SNAPPED	1.7920901775360107	0.4888420104980469	132	0.368
1536	1536_nbacourt_2163_frame_0017_png.rf.c7fac2.jpg	nbacourt_2163_frame_0017_png.rf.c7fac2	SNAPPED	1.5521026849746704	0.4886130690574646	142	0.591
1537	1537_nbacourt_1064_frame_0005_png.rf.8a6732.jpg	nbacourt_1064_frame_0005_png.rf.8a6732	SNAPPED	0.7992467284202576	0.4885816276073456	134	0.368
1538	1538_nbacourt_2194_frame_0003_png.rf.6d64e8.jpg	nbacourt_2194_frame_0003_png.rf.6d64e8	SNAPPED	1.5447665452957153	0.4883536994457245	134	0.514
1539	1539_nbacourt_0711_frame_0003_png.rf.cf839c.jpg	nbacourt_0711_frame_0003_png.rf.cf839c	SNAPPED	0.9024248123168945	0.48793739080429077	102	0.325
1540	1540_nbacourt_2251_frame_0011_png.rf.7e6c0a.jpg	nbacourt_2251_frame_0011_png.rf.7e6c0a	SNAPPED	1.264472246170044	0.4878893792629242	92	0.344
1541	1541_nbacourt_1333_frame_0006_png.rf.fd79b7.jpg	nbacourt_1333_frame_0006_png.rf.fd79b7	SNAPPED	0.7454455494880676	0.4877852499485016	105	0.308
1542	1542_nbacourt_0709_frame_0003_png.rf.ce92ff.jpg	nbacourt_0709_frame_0003_png.rf.ce92ff	SNAPPED	2.0103225708007812	0.4873960018157959	69	0.184
1543	1543_nbacourt_1579_frame_0008_png.rf.c66bed.jpg	nbacourt_1579_frame_0008_png.rf.c66bed	SNAPPED	1.0020458698272705	0.48711106181144714	81	0.438
1544	1544_nbacourt_1156_frame_0005_png.rf.f0e704.jpg	nbacourt_1156_frame_0005_png.rf.f0e704	SNAPPED	1.4674148559570312	0.48699676990509033	94	0.318
1545	1545_nbacourt_1052_frame_0005_png.rf.7edb1b.jpg	nbacourt_1052_frame_0005_png.rf.7edb1b	SNAPPED	2.1220498085021973	0.48640841245651245	74	0.341
1546	1546_nbacourt_1098_frame_0005_png.rf.b4b714.jpg	nbacourt_1098_frame_0005_png.rf.b4b714	SNAPPED	0.9858028292655945	0.48634073138237	110	0.315
1547	1547_nbacourt_2209_frame_0004_png.rf.7fb52a.jpg	nbacourt_2209_frame_0004_png.rf.7fb52a	SNAPPED	1.3782129287719727	0.4860439896583557	107	0.243
1548	1548_nbacourt_2071_frame_0005_png.rf.ab76c8.jpg	nbacourt_2071_frame_0005_png.rf.ab76c8	SNAPPED	0.9697344899177551	0.4857681393623352	123	0.299
1549	1549_nbacourt_0686_frame_0003_png.rf.b830c2.jpg	nbacourt_0686_frame_0003_png.rf.b830c2	SNAPPED	1.2634813785552979	0.485524982213974	121	0.339
1550	1550_nbacourt_0300_frame_0001_png.rf.d9d6aa.jpg	nbacourt_0300_frame_0001_png.rf.d9d6aa	SNAPPED	1.0425970554351807	0.48537394404411316	117	0.190
1551	1551_nbacourt_1578_frame_0008_png.rf.c2b407.jpg	nbacourt_1578_frame_0008_png.rf.c2b407	SNAPPED	1.2029186487197876	0.48488932847976685	82	0.269
1552	1552_nbacourt_0737_frame_0003_png.rf.f78390.jpg	nbacourt_0737_frame_0003_png.rf.f78390	SNAPPED	0.9748144149780273	0.4844180941581726	83	0.299
