rank	file	frame	game	floor_frac	old-aug_sane	old-aug_res	old-aug_match	old-aug_pts	NEW-33_sane	NEW-33_res	NEW-33_match	NEW-33_pts	NEW-grid_sane	NEW-grid_res	NEW-grid_match	NEW-grid_pts
523	0523_92fLApYaCGI_s5580_t0084.jpg	92fLApYaCGI_s5580_t0084	1998 CHI@UTA	0.293	1	nan	19	12	1	nan	16	13	1	6.76462459564209	25	39
524	0524_H56iR3188P0_s4080_t0014.jpg	H56iR3188P0_s4080_t0014	2013 SAS@MIA	0.256	0	nan	0	0	1	6.421476364135742	22	11	1	6.658998012542725	29	25
525	0525_qAeUUwn-A8s_s2580_t0206.jpg	qAeUUwn-A8s_s2580_t0206	2024 DEN@MIN	0.495	1	4.354526996612549	63	10	1	6.17714786529541	57	10	1	6.650990962982178	51	33
526	0526_qAeUUwn-A8s_s2580_t0168.jpg	qAeUUwn-A8s_s2580_t0168	2024 DEN@MIN	0.428	0	nan	0	9	1	3.5000555515289307	43	10	1	6.627452373504639	38	19
527	0527_H56iR3188P0_s4080_t0032.jpg	H56iR3188P0_s4080_t0032	2013 SAS@MIA	0.173	0	nan	0	0	1	4.509180545806885	35	12	1	6.580286979675293	36	38
528	0528_8Ap3jYl0nAA_s1320_t0062.jpg	8Ap3jYl0nAA_s1320_t0062	2019 TOR@PHI	0.235	1	3.825507164001465	40	13	1	4.500022888183594	59	14	1	6.577202796936035	76	40
529	0529_qAeUUwn-A8s_s4200_t0212.jpg	qAeUUwn-A8s_s4200_t0212	2024 DEN@MIN	0.485	0	nan	0	0	1	5.4450764656066895	67	10	1	6.56879997253418	58	30
530	0530_92fLApYaCGI_s1380_t0258.jpg	92fLApYaCGI_s1380_t0258	1998 CHI@UTA	0.292	0	nan	0	0	1	3.4302165508270264	24	13	1	6.531632423400879	22	38
531	0531_qAeUUwn-A8s_s2580_t0112.jpg	qAeUUwn-A8s_s2580_t0112	2024 DEN@MIN	0.457	1	5.817554473876953	55	12	1	3.624054193496704	74	12	1	6.526247024536133	80	31
532	0532_qAeUUwn-A8s_s2580_t0296.jpg	qAeUUwn-A8s_s2580_t0296	2024 DEN@MIN	0.519	1	5.006450653076172	63	10	0	nan	0	4	1	6.523725509643555	20	12
533	0533_92fLApYaCGI_s1380_t0190.jpg	92fLApYaCGI_s1380_t0190	1998 CHI@UTA	0.294	0	nan	0	0	1	3.247816562652588	65	13	1	6.518832206726074	44	44
534	0534_8Ap3jYl0nAA_s3300_t0028.jpg	8Ap3jYl0nAA_s3300_t0028	2019 TOR@PHI	0.174	1	4.240594387054443	27	9	1	6.113778114318848	43	10	1	6.500757217407227	35	19
535	0535_qAeUUwn-A8s_s4200_t0156.jpg	qAeUUwn-A8s_s4200_t0156	2024 DEN@MIN	0.460	1	4.500225067138672	57	10	1	3.6491739749908447	58	17	1	6.500007629394531	54	48
536	0536_qAeUUwn-A8s_s2580_t0142.jpg	qAeUUwn-A8s_s2580_t0142	2024 DEN@MIN	0.422	0	nan	0	9	1	2.9886362552642822	50	10	1	6.500004291534424	69	20
537	0537_8Ap3jYl0nAA_s3300_t0064.jpg	8Ap3jYl0nAA_s3300_t0064	2019 TOR@PHI	0.181	1	6.383282661437988	21	12	1	5.116772174835205	46	12	1	6.499978065490723	65	29
538	0538_qAeUUwn-A8s_s4200_t0082.jpg	qAeUUwn-A8s_s4200_t0082	2024 DEN@MIN	0.312	1	6.4793572425842285	37	11	1	4.771308898925781	66	11	1	6.499154090881348	72	28
539	0539_92fLApYaCGI_s1380_t0008.jpg	92fLApYaCGI_s1380_t0008	1998 CHI@UTA	0.304	0	nan	0	0	1	3.275829553604126	26	12	1	6.468805313110352	27	30
540	0540_qAeUUwn-A8s_s2580_t0144.jpg	qAeUUwn-A8s_s2580_t0144	2024 DEN@MIN	0.435	0	nan	0	9	1	4.500097274780273	51	10	1	6.458757400512695	56	20
