rank	file	frame	n_code2	flag	verts_on	med_px	support
840	0840_nbacourt_1914_frame_0018_png.rf.7fed67.jpg	nbacourt_1914_frame_0018_png.rf.7fed67	6	-	15	18.15	0.157
841	0841_nbacourt_1967_frame_0030_png.rf.ed3eb7.jpg	nbacourt_1967_frame_0030_png.rf.ed3eb7	5	-	11	18.15	0.289
842	0842_nbacourt_2029_frame_0003_png.rf.572950.jpg	nbacourt_2029_frame_0003_png.rf.572950	7	-	18	18.15	0.150
843	0843_nbacourt_2034_frame_0003_png.rf.c78856.jpg	nbacourt_2034_frame_0003_png.rf.c78856	6	-	13	18.15	0.233
844	0844_nbacourt_0651_frame_0003_png.rf.91d730.jpg	nbacourt_0651_frame_0003_png.rf.91d730	6	-	15	18.13	0.259
845	0845_nbacourt_1244_frame_0006_png.rf.7d1021.jpg	nbacourt_1244_frame_0006_png.rf.7d1021	5	-	13	18.13	0.207
846	0846_nbacourt_0623_frame_0003_png.rf.68d6a7.jpg	nbacourt_0623_frame_0003_png.rf.68d6a7	6	-	15	18.10	0.272
847	0847_nbacourt_1412_frame_0007_png.rf.7cc539.jpg	nbacourt_1412_frame_0007_png.rf.7cc539	5	-	11	18.10	0.214
848	0848_nbacourt_1921_frame_0019_png.rf.0be75c.jpg	nbacourt_1921_frame_0019_png.rf.0be75c	6	-	15	18.10	0.145
849	0849_nbacourt_2011_frame_0002_png.rf.762091.jpg	nbacourt_2011_frame_0002_png.rf.762091	5	-	10	18.10	0.297
850	0850_nbacourt_0657_frame_0003_png.rf.968ffa.jpg	nbacourt_0657_frame_0003_png.rf.968ffa	6	-	13	18.05	0.280
851	0851_nbacourt_0834_frame_0004_png.rf.6bb0be.jpg	nbacourt_0834_frame_0004_png.rf.6bb0be	6	-	15	18.05	0.223
852	0852_nbacourt_1189_frame_0006_png.rf.19d465.jpg	nbacourt_1189_frame_0006_png.rf.19d465	6	-	11	18.05	0.222
853	0853_nbacourt_1307_frame_0006_png.rf.d732b1.jpg	nbacourt_1307_frame_0006_png.rf.d732b1	5	-	12	18.05	0.133
854	0854_nbacourt_1453_frame_0007_png.rf.c0e45b.jpg	nbacourt_1453_frame_0007_png.rf.c0e45b	6	-	13	18.05	0.227
855	0855_nbacourt_1711_frame_0010_png.rf.5f94c7.jpg	nbacourt_1711_frame_0010_png.rf.5f94c7	5	-	12	18.05	0.259
856	0856_nbacourt_1845_frame_0013_png.rf.8f42e7.jpg	nbacourt_1845_frame_0013_png.rf.8f42e7	6	-	14	18.05	0.330
857	0857_nbacourt_2030_frame_0003_png.rf.834c3e.jpg	nbacourt_2030_frame_0003_png.rf.834c3e	6	-	12	18.05	0.323
858	0858_nbacourt_2204_frame_0004_png.rf.24b483.jpg	nbacourt_2204_frame_0004_png.rf.24b483	4	-	11	18.05	0.317
859	0859_nbacourt_2223_frame_0006_png.rf.995354.jpg	nbacourt_2223_frame_0006_png.rf.995354	5	-	12	18.05	0.091
860	0860_nbacourt_1283_frame_0006_png.rf.b7d28e.jpg	nbacourt_1283_frame_0006_png.rf.b7d28e	5	-	13	18.04	0.261
861	0861_nbacourt_0637_frame_0003_png.rf.777669.jpg	nbacourt_0637_frame_0003_png.rf.777669	7	-	18	18.02	0.143
862	0862_nbacourt_0675_frame_0003_png.rf.ad75a9.jpg	nbacourt_0675_frame_0003_png.rf.ad75a9	6	-	13	18.02	0.230
863	0863_nbacourt_1093_frame_0005_png.rf.b0e76a.jpg	nbacourt_1093_frame_0005_png.rf.b0e76a	5	-	12	18.02	0.215
864	0864_nbacourt_1121_frame_0005_png.rf.cac9fd.jpg	nbacourt_1121_frame_0005_png.rf.cac9fd	6	-	15	18.02	0.324
865	0865_nbacourt_1465_frame_0007_png.rf.daf386.jpg	nbacourt_1465_frame_0007_png.rf.daf386	5	-	11	18.02	0.238
866	0866_nbacourt_1481_frame_0007_png.rf.f3a507.jpg	nbacourt_1481_frame_0007_png.rf.f3a507	5	-	10	18.02	0.277
867	0867_nbacourt_1945_frame_0023_png.rf.2d47b9.jpg	nbacourt_1945_frame_0023_png.rf.2d47b9	5	-	14	18.02	0.269
868	0868_nbacourt_1965_frame_0030_png.rf.c2e9aa.jpg	nbacourt_1965_frame_0030_png.rf.c2e9aa	5	-	11	18.02	0.289
869	0869_nbacourt_1997_frame_0001_png.rf.8cdfad.jpg	nbacourt_1997_frame_0001_png.rf.8cdfad	8	-	18	18.02	0.187
870	0870_nbacourt_0222_frame_0001_png.rf.6ba500.jpg	nbacourt_0222_frame_0001_png.rf.6ba500	5	-	10	17.97	0.171
871	0871_nbacourt_0945_frame_0004_png.rf.fb14dc.jpg	nbacourt_0945_frame_0004_png.rf.fb14dc	4	-	10	17.96	0.162
872	0872_nbacourt_1039_frame_0005_png.rf.7047cc.jpg	nbacourt_1039_frame_0005_png.rf.7047cc	6	-	15	17.96	0.157
873	0873_nbacourt_0940_frame_0004_png.rf.f3e461.jpg	nbacourt_0940_frame_0004_png.rf.f3e461	6	-	15	17.93	0.280
874	0874_nbacourt_1040_frame_0005_png.rf.705a1e.jpg	nbacourt_1040_frame_0005_png.rf.705a1e	6	-	15	17.93	0.330
875	0875_nbacourt_1089_frame_0005_png.rf.adb5ba.jpg	nbacourt_1089_frame_0005_png.rf.adb5ba	6	-	15	17.93	0.306
876	0876_nbacourt_0021_frame_0000_png.rf.230b31.jpg	nbacourt_0021_frame_0000_png.rf.230b31	8	-	10	17.91	0.183
877	0877_nbacourt_0601_frame_0003_png.rf.55bf7b.jpg	nbacourt_0601_frame_0003_png.rf.55bf7b	6	-	15	17.89	0.204
878	0878_nbacourt_0944_frame_0004_png.rf.f8da3e.jpg	nbacourt_0944_frame_0004_png.rf.f8da3e	5	-	9	17.89	0.241
879	0879_nbacourt_0981_frame_0005_png.rf.203893.jpg	nbacourt_0981_frame_0005_png.rf.203893	6	-	12	17.89	0.258
